date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:36:44	394212/394212	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6db494-603f0%22	https://9btstore.net/js/themes.js?id=9934da8bbaf117b1f1ad	C:/My%20Web%20Sites/9bt/9btstore.net/js/themes17b2.js	(from https://9btstore.net/)
07:36:44	1845/1845	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6db576-766%22	https://9btstore.net/vendor/salla/events.js	C:/My%20Web%20Sites/9bt/9btstore.net/vendor/salla/events.js	(from https://9btstore.net/)
07:36:44	53180/53180	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6db494-15986%22	https://9btstore.net/themes/default/assets/js/plugins/slick.js?v=7d83b404	C:/My%20Web%20Sites/9bt/9btstore.net/themes/default/assets/js/plugins/slick04b6.js	(from https://9btstore.net/)
07:36:44	1762/1762	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6db494-c41%22	https://9btstore.net/themes/theme_2/assets/js/app.js?v=7d83b404	C:/My%20Web%20Sites/9bt/9btstore.net/themes/theme_2/assets/js/app04b6.js	(from https://9btstore.net/)
07:36:44	239564/239564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6db494-3a7cc%22	https://9btstore.net/themes/default/assets/js/plugins/jquery-ui.min.js?v=7d83b404	C:/My%20Web%20Sites/9bt/9btstore.net/themes/default/assets/js/plugins/jquery-ui.min04b6.js	(from https://9btstore.net/)
07:36:45	583/583	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f6db494-347%22	https://9btstore.net/themes/default/assets/js/pages/add_cart.js?v=7d83b404	C:/My%20Web%20Sites/9bt/9btstore.net/themes/default/assets/js/pages/add_cart04b6.js	(from https://9btstore.net/)
07:36:45	34560/34560	---M--	200	added ('OK')	application/octet-stream	etag:%225f6db494-8700%22	https://9btstore.net/fonts/AmazonEmberArabic_Rg.woff2?252f04f45764c160265bc3f0e2e43e30	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/AmazonEmberArabic_Rg43fd.woff2	(from https://9btstore.net/fonts/amazon_ember.css?v=7d83b404)
07:36:45	42700/42700	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225f6db494-a6cc%22	https://9btstore.net/fonts/AmazonEmberArabic_Rg.woff?c9ed3c8cef4c49981eb3b6b848826593	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/AmazonEmberArabic_Rg8353.woff	(from https://9btstore.net/fonts/amazon_ember.css?v=7d83b404)
07:36:45	34992/34992	---M--	200	added ('OK')	application/octet-stream	etag:%225f6db494-88b0%22	https://9btstore.net/fonts/AmazonEmberArabic_Bd.woff2?32783a77090922dd5ab80ef013d749ee	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/AmazonEmberArabic_Bd3557.woff2	(from https://9btstore.net/fonts/amazon_ember.css?v=7d83b404)
07:36:46	43316/43316	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225f6db494-a934%22	https://9btstore.net/fonts/AmazonEmberArabic_Bd.woff?1c3a4819206a19045303cbe98eacca2b	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/AmazonEmberArabic_Bd3516.woff	(from https://9btstore.net/fonts/amazon_ember.css?v=7d83b404)
07:36:46	261372/261372	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f6db494-3fcfc%22	https://9btstore.net/fonts/sallaicons.eot?08b69a1c54298f302b050e01b670c2a0	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/sallaicons2b20.eot	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:46	83500/83500	---M--	200	added ('OK')	application/octet-stream	etag:%225f6db494-1462c%22	https://9btstore.net/fonts/sallaicons.woff2?9b99e8d3f8a1c7a88418591d31b3ddac	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/sallaicons5a02.woff2	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
07:36:46	261196/261196	---M--	200	added ('OK')	application/octet-stream	etag:%225f6db494-3fc4c%22	https://9btstore.net/fonts/sallaicons.ttf?f7243766f7c34e4efff4e7f682664682	C:/My%20Web%20Sites/9bt/9btstore.net/fonts/sallaicons1f4b.ttf	(from https://9btstore.net/css/app.css?id=6215e539c1d3ba52937f)
